nb_permission ,"ACCESS_INTERNET(0, 1)",ACCESS_BLUETOOTH,ACCESS_LOCATION,ACCESS_Account,"Classe (0, 1, 2)"
11,0,1,0,0,1
54,0,1,0,0,1
13,0,1,0,0,2
8,0,1,0,0,1
7,0,1,0,0,2
6,0,1,0,0,1
10,0,1,0,0,1
7,0,1,0,0,1
18,0,1,0,0,2
2,0,1,0,0,2
6,0,1,0,1,2
11,0,1,0,0,1
5,0,1,0,0,1
8,0,1,0,0,1
20,0,1,1,0,1
17,0,1,1,0,1
22,0,1,1,0,1
7,0,1,0,0,1
7,0,1,0,0,1
9,0,1,0,0,1
7,0,1,0,0,1
2,0,1,0,0,1
54,0,1,0,0,1
7,0,1,1,0,1
54,0,1,0,0,1
54,0,1,0,0,1
7,0,1,0,0,1
54,0,1,0,0,1
3,0,1,0,0,1
4,0,1,0,0,1
8,0,1,0,0,1
8,0,1,0,0,1
10,0,1,0,0,1
34,0,1,1,0,2
25,0,1,1,0,1
10,0,1,0,0,1
4,0,1,0,0,1
6,0,1,0,0,0
8,0,1,0,0,1
25,0,1,1,0,1
4,0,1,0,0,1
4,0,1,0,0,1
4,0,1,0,0,1
4,0,1,0,0,1
4,0,1,0,0,1
5,0,1,0,1,1
4,0,1,0,0,1
25,0,1,1,0,1
4,0,1,0,0,1
4,0,1,0,0,1
8,1,1,0,0,1
4,0,1,0,0,1
4,0,1,0,0,1
25,0,1,1,0,1
8,0,1,0,0,1
8,0,1,0,0,1
4,0,1,0,0,1
4,0,1,0,0,1
3,0,1,0,0,1
3,0,1,0,0,1
18,0,1,0,1,2
4,0,1,0,0,1
6,0,1,1,0,2
6,0,1,1,0,2
5,0,1,0,0,1
1,0,1,0,0,1
2,0,1,0,0,1
5,0,1,0,1,1
1,0,1,0,0,1
4,0,1,0,0,1
4,0,1,0,0,1
10,0,1,0,0,1
1,0,1,0,0,1
2,0,1,0,0,0
8,0,1,0,0,1
4,0,1,0,0,1
2,0,1,0,0,1
4,0,1,0,0,2
26,0,1,1,1,1
4,0,1,0,0,1
2,0,1,0,0,2
4,0,1,0,0,1
37,0,1,1,1,2
1,0,1,0,0,1
1,0,1,0,0,1
16,0,1,1,1,2
1,0,1,0,0,1
1,0,1,0,0,1
4,0,1,0,0,1
18,0,1,0,1,2
7,0,1,0,0,1
2,0,1,0,0,2
2,0,1,0,0,2
2,0,1,0,0,1
4,0,1,0,0,1
3,0,1,0,0,2
1,0,1,0,0,1
4,0,1,0,0,1
4,0,1,0,0,1
3,0,1,0,1,1
1,0,1,0,0,2
2,0,1,0,0,2
3,0,1,0,0,1
4,0,1,0,0,1
2,0,1,0,0,1
4,0,1,0,0,1
7,0,1,0,0,1
6,0,1,1,0,1
4,0,1,0,0,1
7,1,1,0,0,1
3,0,1,0,0,1
4,0,1,0,0,1
18,0,1,0,1,1
4,0,1,0,0,1
2,0,1,0,0,1
6,0,1,1,0,1
6,0,1,0,0,2
26,0,1,1,1,1
18,0,1,0,0,2
10,0,1,0,0,1
1,0,1,0,0,2
5,0,1,0,0,1
8,0,1,0,0,1
2,0,1,0,0,0
4,0,1,0,0,1
4,0,1,0,0,1
6,0,1,0,0,1
6,0,1,0,0,2
4,1,1,0,0,1
36,0,1,1,1,1
1,0,1,0,0,1
27,0,1,1,0,1
12,0,1,0,0,2
3,0,1,0,0,1
12,0,1,0,1,1
4,0,1,0,0,1
4,0,1,0,0,1
3,0,1,0,0,1
19,0,1,0,1,2
4,0,1,0,0,1
1,0,1,0,0,2
2,0,1,0,1,1
18,0,1,0,1,1
8,0,1,0,0,1
2,0,1,0,0,1
26,0,1,1,1,1
8,0,1,0,0,1
3,0,1,0,1,1
4,0,1,0,0,1
6,0,1,0,0,1
4,0,1,0,0,1
1,0,1,0,0,1
8,0,1,0,1,2
4,0,1,0,0,1
4,0,1,0,0,1
6,0,1,1,0,2
27,0,1,1,0,1
1,0,1,0,0,1
4,0,1,0,0,1
7,0,1,0,0,2
13,0,1,0,1,1
20,0,1,0,1,1
11,0,1,0,0,1
8,0,1,0,0,1
3,0,1,0,1,1
15,0,1,0,1,2
3,0,1,0,0,2
5,0,1,0,0,1
13,0,1,0,1,1
7,0,1,0,0,2
7,0,1,0,0,1
19,0,1,0,1,2
1,0,1,0,0,1
19,0,1,0,1,2
36,0,1,1,1,1
9,0,1,0,0,1
1,0,1,0,0,1
6,0,1,1,0,2
1,0,1,0,0,1
4,0,1,0,0,1
6,0,1,0,0,1
4,0,1,0,0,1
27,0,1,1,0,1
2,0,1,0,0,1
2,0,1,0,0,1
8,0,1,0,0,1
7,0,1,0,0,1
2,0,1,0,0,0
3,0,1,0,0,1
7,0,1,0,0,2
1,0,1,0,0,2
13,0,1,0,1,1
2,0,1,0,0,1
15,0,1,0,0,1
29,0,1,1,1,1
8,0,1,1,0,2
6,0,1,1,0,2
4,0,1,0,0,1
4,1,0,1,0,1
5,1,0,0,0,1
3,1,0,0,0,1
4,1,0,0,0,1
2,1,0,0,0,1
12,1,1,0,0,2
1,1,0,0,0,1
5,1,0,0,1,1
2,1,0,0,1,2
6,1,0,0,0,2
1,1,0,0,0,1
3,1,0,0,0,1
3,1,0,0,1,2
8,1,0,1,0,2
2,1,0,0,0,1
3,1,0,1,0,1
4,1,0,1,0,1
12,1,0,1,0,1
4,1,0,1,0,1
5,1,0,0,0,1
3,1,0,0,0,1
4,1,0,0,0,2
37,1,0,1,1,1
5,1,0,0,0,1
5,1,0,0,0,1
1,1,0,0,0,1
6,1,0,0,0,1
1,1,0,0,0,1
5,1,0,0,0,1
15,1,0,0,0,1
6,1,0,0,0,1
5,1,0,0,0,1
6,1,0,0,0,2
5,1,0,0,0,1
1,1,0,0,0,2
5,1,0,0,0,1
2,1,0,0,0,1
5,1,0,0,0,1
5,1,0,0,0,1
5,1,0,0,0,1
2,1,0,0,0,1
5,1,0,0,0,1
5,1,0,0,0,1
1,1,0,0,0,1
5,1,0,0,0,1
5,1,0,0,0,1
5,1,0,0,0,1
1,1,0,0,0,2
5,1,0,0,0,1
2,1,0,0,0,1
4,1,0,0,0,1
1,1,0,0,0,1
6,1,0,0,0,1
5,1,0,0,0,1
5,1,0,0,0,1
5,1,0,0,0,1
3,1,0,0,0,2
5,1,0,0,0,1
10,1,0,0,1,1
4,1,0,0,0,1
5,1,0,0,0,1
2,1,0,0,0,1
3,1,0,0,0,1
1,1,0,0,0,1
5,1,0,0,0,1
3,1,0,0,0,2
5,1,0,0,0,1
6,1,0,0,0,2
4,1,0,0,0,2
2,0,0,0,1,1
5,0,0,0,1,1
4,0,0,0,1,1
1,0,0,0,1,2
4,0,0,0,1,2
1,0,0,0,1,1
8,0,0,0,1,1
7,0,0,1,1,1
11,0,0,1,1,1
1,0,0,0,1,1
1,0,0,0,1,1
3,0,0,0,1,1
6,0,0,1,1,1
1,0,0,0,1,2
4,0,0,0,1,2
3,0,0,0,1,2
2,0,0,0,1,1
6,0,0,1,1,1
6,0,0,1,1,1
1,0,0,0,1,2
5,0,0,0,1,1
7,0,0,1,1,1
7,0,0,0,1,1
3,0,0,0,1,1
1,0,0,0,1,2
1,0,0,0,1,1
5,0,0,0,1,1
1,0,0,0,1,2
3,0,0,1,1,1
3,0,0,0,1,1
1,0,0,0,1,1
6,0,0,1,1,1
6,0,0,1,1,1
5,0,0,0,1,2
1,0,0,0,1,2
3,0,0,0,1,1
2,0,0,0,1,1
7,0,0,0,1,1
3,0,0,0,1,1
2,0,0,0,1,1
1,0,0,0,1,1
4,0,0,0,1,2
1,0,0,0,1,1
3,0,0,0,1,1
2,0,0,0,1,1
8,0,0,1,0,1
16,0,0,1,0,2
16,0,0,1,0,2
16,0,0,1,0,2
16,0,0,1,0,2
16,0,0,1,0,2
1,0,0,1,0,1
4,0,0,1,0,1
